Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/21/23,Saturday,15,In n out,Food,Debit
1/22/23,Sunday,30,Gas,Travel,Debit
1/24/23,Tuesday,22.78,Burrito and drink,Food,Debit
1/24/23,Tuesday,4.76,Gelato,Food,Debit
1/26/23,Thursday,69.99,Video game,Entertainment and Recreation,Debit
1/26/23,Thursday,4.99,Spotify monthly,Entertainment and Recreation,Debit
1/27/23,Friday,11.53,Crepe,Food,Debit
1/29/23,Sunday,6.98,Snacks,Food,Debit
2/3/23,Friday,12.87,Snacks,Food,Debit
2/3/23,Friday,15.05,Burger and fries,Food,Debit
2/4/23,Saturday,4.81,Pink lemonade,Food,Debit
